32312 2016-11-26 18:49:04,727 main.py[line:12] INFO:  MAIN SPIDER START ...
32312 2016-11-26 18:49:07,016 util.py[line:148] INFO:  登陆成功...
32312 2016-11-26 18:49:07,903 util.py[line:148] INFO:  登陆成功...
32312 2016-11-26 18:49:08,726 util.py[line:148] INFO:  登陆成功...
37912 2016-11-26 18:49:08,765 ListenUserInfoGetter.py[line:23] WARNING:  目前优先队列有0个元素
37664 2016-11-26 18:49:08,769 ListenUserInfoGetter.py[line:23] WARNING:  目前优先队列有0个元素
38060 2016-11-26 18:49:08,776 ListenUserInfoGetter.py[line:23] WARNING:  目前优先队列有0个元素
35172 2016-11-26 18:49:09,352 HJSpider.py[line:138] INFO:  此次访问共有16页
35172 2016-11-26 18:49:09,359 HJSpider.py[line:150] INFO:  **************************************************访问此语种页面：http://ting.hujiang.com/menu/jp/page16/
35172 2016-11-26 18:49:11,527 ListenItems.py[line:211] DEBUG:  节目: name : dmtxhgtzs; title : 滑头鬼之孙; itemImgUrl : http://i1.w.hjfile.cn/bulo/menu/p9903.jpg; introduction : 主人公奴良陆生看似是普通的中学生，实际上是妖怪“滑头鬼”的孙子，继承了四分之一滑头鬼之血。但他就想过平静生活，不愿继承奴良组三代目。一天，陆生的人类朋友被妖怪袭击，为保护他们觉醒了自身的妖怪之血。四年后，陆生虽然仍希望作为人类生活，但是为了统率奴良组而与妖怪世界相对。; type : 娱乐; type : 动漫; difficult : 初中级; updateRate : 已经完结; averageComsume : 563; averageScore : 77.77%;
35172 2016-11-26 18:49:11,542 HJSpider.py[line:159] INFO:  ******************************访问节目页面：http://ting.hujiang.com/dmtxhgtzs/page1/
35172 2016-11-26 18:49:12,342 ListenArticles.py[line:151] DEBUG:  文章: uid : 15465892001; type : 娱乐; title : 【滑头鬼之孙·千年魔京】第六回（1）; commentCount : 1; averageScore : 87; timeLast : 87; publishTime : 2012/7/17 9:00:10; contributorId : 4397380; difficultLevel : 初中级级别; rewards : 3; tags : ['滑头鬼之孙', '千年魔京', '日本动漫', '动漫日语'];
35172 2016-11-26 18:49:12,342 HJSpider.py[line:170] INFO:  **********正在访问文章的UID是：15465892001  贡献者为：4397380
35172 2016-11-26 18:49:12,342 HJSpider.py[line:182] INFO:  获取的用户uid为：4397380
35172 2016-11-26 18:49:12,864 HJSpider.py[line:182] INFO:  获取的用户uid为：13694062
35172 2016-11-26 18:49:12,865 HJSpider.py[line:182] INFO:  获取的用户uid为：4773705
35172 2016-11-26 18:49:12,865 HJSpider.py[line:182] INFO:  获取的用户uid为：8933663
35172 2016-11-26 18:49:12,865 HJSpider.py[line:182] INFO:  获取的用户uid为：4079008
35172 2016-11-26 18:49:12,866 HJSpider.py[line:182] INFO:  获取的用户uid为：6616516
35172 2016-11-26 18:49:12,866 HJSpider.py[line:182] INFO:  获取的用户uid为：6080189
35172 2016-11-26 18:49:12,866 HJSpider.py[line:182] INFO:  获取的用户uid为：16078920
35172 2016-11-26 18:49:12,866 HJSpider.py[line:260] INFO:  此次添加 1 个用户
35172 2016-11-26 18:49:13,138 HJSpider.py[line:182] INFO:  获取的用户uid为：13452951
35172 2016-11-26 18:49:13,138 HJSpider.py[line:182] INFO:  获取的用户uid为：4814343
35172 2016-11-26 18:49:13,139 HJSpider.py[line:182] INFO:  获取的用户uid为：8801932
35172 2016-11-26 18:49:13,139 HJSpider.py[line:182] INFO:  获取的用户uid为：1963952
35172 2016-11-26 18:49:13,140 HJSpider.py[line:182] INFO:  获取的用户uid为：1646158
37912 2016-11-26 18:49:14,062 ListenUsers.py[line:266] DEBUG:  用户: uid : 4397380; name : korota; nickName : 大头; gender : 0; city : 上海; registDate : 2010/2/3 23:05:00; signinLast : 453; lastSignin : 8个月前; selfIntroduction : [[[]]]
37912 2016-11-26 18:49:14,062 ListenUserInfoGetter.py[line:35] INFO:  信息获取成功 : 4397380 ; 消耗时间：1.7134339809417725
37912 2016-11-26 18:49:14,063 ListenUserInfoGetter.py[line:23] WARNING:  目前优先队列有0个元素
35172 2016-11-26 18:49:14,063 HJSpider.py[line:182] INFO:  获取的用户uid为：20230516
37912 2016-11-26 18:49:15,716 ListenUsers.py[line:266] DEBUG:  用户: uid : 8933663; name : 夏忧莲; nickName : ; gender : 0; city : 大连; registDate : 2011/5/27 9:30:00; signinLast : 954; lastSignin : 3周前; selfIntroduction : [[[]]]
37912 2016-11-26 18:49:15,716 ListenUserInfoGetter.py[line:35] INFO:  信息获取成功 : 8933663 ; 消耗时间：1.6533539295196533
37912 2016-11-26 18:49:15,716 ListenUserInfoGetter.py[line:23] WARNING:  目前优先队列有0个元素
35172 2016-11-26 18:49:15,717 HJSpider.py[line:182] INFO:  获取的用户uid为：10592911
