2016-11-15 22:33:43,893 HJSpider.py[line:843] INFO:  spider running ...
2016-11-15 22:33:45,391 HJSpider.py[line:169] INFO:  Login Token IS f86b9ad2ea84b5e38b0b63adeffee622
2016-11-15 22:33:45,940 HJSpider.py[line:265] INFO:  此次访问共有28页
2016-11-15 22:33:45,940 HJSpider.py[line:272] INFO:  当前访问页面：http://ting.hujiang.com/menu/en/page1/
2016-11-15 22:33:46,175 HJSpider.py[line:314] INFO:  当前访问节目：http://ting.hujiang.com/biaozhun/
2016-11-15 22:33:46,411 HJSpider.py[line:353] INFO:  文章最大页数为：384; url is http://ting.hujiang.com/biaozhun/
2016-11-15 22:33:46,556 HJSpider.py[line:358] DEBUG:  节目: name : biaozhun; title : 标准美音; itemImgUrl : http://i1.w.hjfile.cn/bulo/menu/p558.jpg; introduction : 采用经典听力材料“美国之音”，纯正美语，磨练听力。每天听写1~1分半分钟，然后翻译、总结，巩固提高。; type : 实用; type : 美国; difficult : 中级; updateRate : 每天更新; averageComsume : 1368; averageScore : 75.37%; 
2016-11-15 22:33:48,654 HJSpider.py[line:695] DEBUG:  用户: uid : 16672461; name : ne2mo; nickName : 小默; gender : -1; city : 上海; registDate : 2012/12/20 21:18:00; signinLast : 267; lastSignin : 9分钟前; selfIntroduction : [[[]]]
2016-11-15 22:33:48,708 HJSpider.py[line:386] DEBUG:  文章: uid : 163716881106; type : 万花筒; title : 帮助老挝女童走进校园(1/2); commentCount : 1; averageScore : 72; timeLast : 74; listenCount : 2; publishTime : 2016/11/15 22:00:10; contributorId : 16672461; difficultLevel : 中级级别; rewards : 4; tags : ['老挝', '女童', '教育', '标准美音']; 
2016-11-15 22:33:48,708 HJSpider.py[line:397] INFO:  当前访问文章：http://ting.hujiang.com/biaozhun/163716881106/
2016-11-15 22:33:49,148 HJSpider.py[line:468] INFO:  该文章听众数量：2; 页数: 1
2016-11-15 22:33:49,148 HJSpider.py[line:470] INFO:  第 1 页用户, 当前 1 用户(不包括302)
2016-11-15 22:33:52,446 HJSpider.py[line:695] DEBUG:  用户: uid : 7986257; name : dragonhc; nickName : Gear; gender : 1; city : 南京; registDate : 2011/3/15 17:10:00; signinLast : 1056; lastSignin : 16分钟前; selfIntroduction : [[[]]]
2016-11-15 22:33:52,446 HJSpider.py[line:513] INFO:  访问此用户消耗时间（秒）：3.080847978591919
2016-11-15 22:33:53,086 HJSpider.py[line:695] DEBUG:  用户: uid : 59645740; name : 吴银兰; nickName : ; gender : -1; city : 常州; registDate : 2016/9/22 22:49:00; signinLast : 40; lastSignin : 17分钟前; selfIntroduction : [[[]]]
2016-11-15 22:33:53,086 HJSpider.py[line:513] INFO:  访问此用户消耗时间（秒）：0.6401710510253906
2016-11-15 22:33:53,087 HJSpider.py[line:407] INFO:  文章数量超出限制，退出！
